pathway,mean_LPS,mean_Control,activation_score_LPS_vs_Control,pvalue,padj
JAK_STAT_IFN,0.7722298117863561,-0.7722298117863559,1.544459623572712,0.008600969772547222,0.05942296002555858
TNF_signaling,0.6641607831593543,-0.6641607831593545,1.3283215663187087,0.014610856224682441,0.05942296002555858
IL17_signaling,0.5766636567862206,-0.5766636567862212,1.1533273135724418,0.03215911776262678,0.06882239861047292
Oxidative_stress,0.5387672530854452,-0.5387672530854448,1.07753450617089,0.07675027144068466,0.09593783930085584
TLR_NFKB,0.48982317610556053,-0.48982317610556114,0.9796463522111216,0.03948134026338231,0.06882239861047292
Cytokine_receptor,0.4304321429778333,-0.43043214297783267,0.8608642859556659,0.017826888007667574,0.05942296002555858
Core_targets,0.4241466258555895,-0.42414662585558977,0.8482932517111792,0.06876337503568716,0.09593783930085584
Chemokine_signaling,0.3343114788095675,-0.33431147880956885,0.6686229576191364,0.041293439166283745,0.06882239861047292
Complement,0.05343708614567886,-0.05343708614568008,0.10687417229135894,0.7457513604746348,0.8286126227495942
Mito_metabolism,0.03723062781956384,-0.03723062781956443,0.07446125563912828,0.9135109660858577,0.9135109660858577
